genre,avg_score,name,score,year
Award Winning,7.87,Code Geass: Lelouch of the Rebellion R2,8.91,2008
Suspense,7.37,Steins;Gate,9.07,2011
Mystery,7.23,The Apothecary Diaries,8.93,2023
Drama,7.19,Frieren: Beyond Journey's End,9.39,2023
Supernatural,7.1,Fruits Basket: The Final Season,8.98,2021
Romance,7.08,Kaguya-sama: Love is War - Ultra Romantic,9.01,2022
Girls Love,7.02,Yuru Yuri San☆Hai!,7.91,2015
Boys Love,7,Given,8.32,2019
Fantasy,6.98,Frieren: Beyond Journey's End,9.39,2023
Action,6.98,Fullmetal Alchemist: Brotherhood,9.09,2009
Sports,6.96,Tomorrow's Joe 2,8.73,1980
Adventure,6.94,Frieren: Beyond Journey's End,9.39,2023
Gourmet,6.9,Food Wars! Shokugeki no Soma,8.14,2015
Sci-Fi,6.87,Steins;Gate,9.07,2011
Comedy,6.87,Gintama Season 4,9.06,2015
Horror,6.79,Berserk,8.58,1997
Slice of Life,6.77,Mushi-shi: Next Passage Part 2,8.73,2014
Avant Garde,6.73,Neon Genesis Evangelion,8.35,1995
Ecchi,6.7,Mushoku Tensei: Jobless Reincarnation Part 2,8.67,2021
