order_item_id,order_id,product_id,quantity,unit_price
1,1,3,1,275.19
2,1,39,2,213.32
3,1,35,1,130.31
4,2,21,3,394.67
5,2,27,1,114.9
6,2,31,2,68.91
7,2,15,2,58.01
8,2,10,1,264.29
9,3,21,3,394.67
10,3,40,1,241.88
11,3,30,1,17.71
12,4,37,2,464.94
13,4,13,3,136.95
14,4,25,1,157.97
15,4,31,3,68.91
16,5,6,3,422.95
17,6,10,3,264.29
18,6,22,3,58.11
19,7,32,3,177.8
20,8,12,3,325.29
21,8,8,2,414.68
22,9,17,2,204.12
23,9,26,1,182.03
24,9,28,3,272.86
25,9,12,3,325.29
26,10,10,1,264.29
27,11,2,1,163.39
28,11,17,1,204.12
29,11,26,2,182.03
30,11,23,1,214.98
31,12,11,2,48.15
32,12,1,2,108.61
33,12,34,3,303.68
34,12,16,3,305.12
35,12,10,1,264.29
36,13,30,3,17.71
37,13,34,1,303.68
38,14,1,2,108.61
39,15,24,1,336.85
40,15,7,2,252.32
41,15,9,1,199.78
42,16,21,2,394.67
43,16,26,3,182.03
44,16,3,1,275.19
45,17,38,1,323.23
46,18,3,3,275.19
47,18,33,2,167.3
48,19,5,2,363.5
49,19,1,3,108.61
50,19,18,2,378.66
51,20,15,1,58.01
52,20,22,2,58.11
53,20,27,2,114.9
54,20,13,1,136.95
55,21,12,2,325.29
56,21,30,3,17.71
57,21,35,2,130.31
58,21,11,2,48.15
59,22,22,3,58.11
60,22,39,2,213.32
61,22,18,3,378.66
62,23,33,3,167.3
63,23,25,3,157.97
64,23,24,2,336.85
65,24,13,3,136.95
66,24,1,2,108.61
67,24,8,2,414.68
68,25,31,3,68.91
69,25,19,2,266.44
70,26,17,2,204.12
71,26,11,2,48.15
72,26,40,2,241.88
73,26,12,1,325.29
74,27,36,1,187.26
75,27,38,1,323.23
76,28,10,2,264.29
77,28,39,3,213.32
78,28,38,3,323.23
79,28,17,2,204.12
80,28,37,2,464.94
81,29,36,2,187.26
82,29,37,1,464.94
83,30,9,2,199.78
84,30,17,1,204.12
85,30,37,1,464.94
86,30,28,2,272.86
87,31,15,2,58.01
88,31,8,1,414.68
89,31,27,1,114.9
90,31,14,2,126.74
91,32,16,3,305.12
92,32,7,2,252.32
93,33,17,1,204.12
94,33,15,3,58.01
95,33,25,1,157.97
96,34,10,3,264.29
97,34,8,1,414.68
98,34,33,2,167.3
99,34,16,1,305.12
100,34,2,2,163.39
101,35,32,3,177.8
102,35,31,2,68.91
103,36,21,2,394.67
104,36,24,1,336.85
105,36,11,2,48.15
106,36,17,3,204.12
107,37,31,3,68.91
108,37,26,3,182.03
109,38,39,3,213.32
110,38,3,1,275.19
111,39,9,3,199.78
112,39,10,3,264.29
113,39,29,1,235.36
114,39,6,2,422.95
115,40,5,2,363.5
116,40,16,2,305.12
117,40,6,1,422.95
118,40,13,1,136.95
119,41,16,1,305.12
120,41,8,3,414.68
121,42,37,1,464.94
